OWNER,OBJECT_NAME,SUBOBJECT_NAME,OBJECT_ID,DATA_OBJECT_ID,OBJECT_TYPE,CREATED,LAST_DDL_TIME,TIMESTAMP,STATUS,TEMPORARY,GENERATED,SECONDARY,NAMESPACE,EDITION_NAME
PUBLIC,V$XSTREAM_MESSAGE_TRACKING,,1300,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,GV_$GOLDENGATE_MESSAGETRACKING,,1301,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,GV$GOLDENGATE_MESSAGE_TRACKING,,1302,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$GOLDENGATE_MESSAGE_TRACKING,,1303,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$GOLDENGATE_MESSAGE_TRACKING,,1304,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$MAP_LIBRARY,,1305,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$MAP_LIBRARY,,1306,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$MAP_FILE,,1307,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$MAP_FILE,,1308,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$MAP_FILE_EXTENT,,1309,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$MAP_FILE_EXTENT,,1310,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$MAP_ELEMENT,,1311,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$MAP_ELEMENT,,1312,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$MAP_EXT_ELEMENT,,1313,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$MAP_EXT_ELEMENT,,1314,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$MAP_COMP_LIST,,1315,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$MAP_COMP_LIST,,1316,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$MAP_SUBELEMENT,,1317,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$MAP_SUBELEMENT,,1318,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$MAP_FILE_IO_STACK,,1319,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$MAP_FILE_IO_STACK,,1320,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$SQL_REDIRECTION,,1321,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$SQL_REDIRECTION,,1322,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$SQL_PLAN,,1323,,VIEW,2014-05-29 13:10:52,2014-05-29 13:25:26,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$SQL_PLAN,,1324,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$SQL_PLAN_STATISTICS,,1325,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$SQL_PLAN_STATISTICS,,1326,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$SQL_PLAN_STATISTICS_ALL,,1327,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$SQL_PLAN_STATISTICS_ALL,,1328,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$ADVISOR_CURRENT_SQLPLAN,,1329,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$ADVISOR_CURRENT_SQLPLAN,,1330,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$SQL_WORKAREA,,1331,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$SQL_WORKAREA,,1332,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$SQL_WORKAREA_ACTIVE,,1333,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$SQL_WORKAREA_ACTIVE,,1334,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$SQL_WORKAREA_HISTOGRAM,,1335,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$SQL_WORKAREA_HISTOGRAM,,1336,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$PGA_TARGET_ADVICE,,1337,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$PGA_TARGET_ADVICE,,1338,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$PGA_TARGET_ADVICE_HISTOGRAM,,1339,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$PGA_TARGET_ADVICE_HISTOGRAM,,1340,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$PGASTAT,,1341,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$PGASTAT,,1342,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$SYS_OPTIMIZER_ENV,,1343,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$SYS_OPTIMIZER_ENV,,1344,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$SES_OPTIMIZER_ENV,,1345,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$SES_OPTIMIZER_ENV,,1346,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$SQL_OPTIMIZER_ENV,,1347,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$SQL_OPTIMIZER_ENV,,1348,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$DLM_MISC,,1349,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$DLM_MISC,,1350,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$DLM_LATCH,,1351,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$DLM_LATCH,,1352,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$DLM_CONVERT_LOCAL,,1353,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$DLM_CONVERT_LOCAL,,1354,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$DLM_CONVERT_REMOTE,,1355,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$DLM_CONVERT_REMOTE,,1356,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$DLM_ALL_LOCKS,,1357,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$DLM_ALL_LOCKS,,1358,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$DLM_LOCKS,,1359,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$DLM_LOCKS,,1360,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$DLM_RESS,,1361,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$DLM_RESS,,1362,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$HVMASTER_INFO,,1363,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$HVMASTER_INFO,,1364,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$GCSHVMASTER_INFO,,1365,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$GCSHVMASTER_INFO,,1366,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$GCSPFMASTER_INFO,,1367,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$GCSPFMASTER_INFO,,1368,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,GV_$DLM_TRAFFIC_CONTROLLER,,1369,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,GV$DLM_TRAFFIC_CONTROLLER,,1370,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$DLM_TRAFFIC_CONTROLLER,,1371,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$DLM_TRAFFIC_CONTROLLER,,1372,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,GV_$DYNAMIC_REMASTER_STATS,,1373,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,GV$DYNAMIC_REMASTER_STATS,,1374,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$DYNAMIC_REMASTER_STATS,,1375,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$DYNAMIC_REMASTER_STATS,,1376,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$GES_ENQUEUE,,1377,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$GES_ENQUEUE,,1378,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$GES_BLOCKING_ENQUEUE,,1379,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$GES_BLOCKING_ENQUEUE,,1380,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$GC_ELEMENT,,1381,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$GC_ELEMENT,,1382,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$CR_BLOCK_SERVER,,1383,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$CR_BLOCK_SERVER,,1384,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$CURRENT_BLOCK_SERVER,,1385,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$CURRENT_BLOCK_SERVER,,1386,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$POLICY_HISTORY,,1387,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$POLICY_HISTORY,,1388,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$GC_ELEMENTS_W_COLLISIONS,,1389,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$GC_ELEMENTS_WITH_COLLISIONS,,1390,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$FILE_CACHE_TRANSFER,,1391,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$FILE_CACHE_TRANSFER,,1392,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$TEMP_CACHE_TRANSFER,,1393,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$TEMP_CACHE_TRANSFER,,1394,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$CLASS_CACHE_TRANSFER,,1395,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$CLASS_CACHE_TRANSFER,,1396,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$BH,,1397,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$BH,,1398,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$SQLFN_METADATA,,1399,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$SQLFN_METADATA,,1400,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$SQLFN_ARG_METADATA,,1401,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$SQLFN_ARG_METADATA,,1402,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$LOCK_ELEMENT,,1403,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$LOCK_ELEMENT,,1404,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$LOCKS_WITH_COLLISIONS,,1405,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$LOCKS_WITH_COLLISIONS,,1406,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$FILE_PING,,1407,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$FILE_PING,,1408,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$TEMP_PING,,1409,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$TEMP_PING,,1410,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$CLASS_PING,,1411,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$CLASS_PING,,1412,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$INSTANCE_CACHE_TRANSFER,,1413,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$INSTANCE_CACHE_TRANSFER,,1414,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$BUFFER_POOL,,1415,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$BUFFER_POOL,,1416,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$BUFFER_POOL_STATISTICS,,1417,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$BUFFER_POOL_STATISTICS,,1418,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
SYS,V_$INSTANCE_RECOVERY,,1419,,VIEW,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
PUBLIC,V$INSTANCE_RECOVERY,,1420,,SYNONYM,2014-05-29 13:10:53,2014-05-29 13:10:53,2014-05-29:13:10:53,VALID,N,N,N,1,
